"","Plasmid","Chrom","Genes","Interacting_genes","Interactions","Total_Genes","Total_Interactions"
"7851","NZ_KX523901.1","Ornithobacterium_rhinotracheale_DSM_15997_","12","0","0","2309","25807"
"7852","MT441554.1","Ornithobacterium_rhinotracheale_DSM_15997_","18","0","0","2309","25807"
"7853","JN626286.1","Thermaerobacter_subterraneus_DSM_13965_","37","19","18","2313","37297"
"7854","LN864819.1","Thermaerobacter_subterraneus_DSM_13965_","57","19","18","2313","37297"
"7855","NZ_KX523901.1","Thermaerobacter_subterraneus_DSM_13965_","12","0","0","2313","37297"
"7856","MT441554.1","Thermaerobacter_subterraneus_DSM_13965_","18","20","19","2313","37297"
"7857","JN626286.1","Desulfotomaculum_carboxydivorans_CO-1-SRB_","37","25","24","2675","36593"
"7858","LN864819.1","Desulfotomaculum_carboxydivorans_CO-1-SRB_","57","25","24","2675","36593"
"7859","NZ_KX523901.1","Desulfotomaculum_carboxydivorans_CO-1-SRB_","12","0","0","2675","36593"
"7860","MT441554.1","Desulfotomaculum_carboxydivorans_CO-1-SRB_","18","24","23","2675","36593"
"7861","JN626286.1","Desulfurobacterium_thermolithotrophum_DSM_11699_","37","0","0","1509","22820"
"7862","LN864819.1","Desulfurobacterium_thermolithotrophum_DSM_11699_","57","0","0","1509","22820"
"7863","NZ_KX523901.1","Desulfurobacterium_thermolithotrophum_DSM_11699_","12","0","0","1509","22820"
"7864","MT441554.1","Desulfurobacterium_thermolithotrophum_DSM_11699_","18","0","0","1509","22820"
"7865","JN626286.1","Treponema_succinifaciens_DSM_2489_","37","0","0","2623","27432"
"7866","LN864819.1","Treponema_succinifaciens_DSM_2489_","57","0","0","2623","27432"
"7867","NZ_KX523901.1","Treponema_succinifaciens_DSM_2489_","12","0","0","2623","27432"
"7868","MT441554.1","Treponema_succinifaciens_DSM_2489_","18","0","0","2623","27432"
"7869","JN626286.1","Marinithermus_hydrothermalis_DSM_14884_","37","21","20","2209","32815"
"7870","LN864819.1","Marinithermus_hydrothermalis_DSM_14884_","57","21","20","2209","32815"
"7871","NZ_KX523901.1","Marinithermus_hydrothermalis_DSM_14884_","12","0","0","2209","32815"
"7872","MT441554.1","Marinithermus_hydrothermalis_DSM_14884_","18","0","0","2209","32815"
"7873","JN626286.1","Cytophaga_fermentans_DSM_9555_=_JCM_21142_","37","0","0","4664","72662"
"7874","LN864819.1","Cytophaga_fermentans_DSM_9555_=_JCM_21142_","57","0","0","4664","72662"
"7875","NZ_KX523901.1","Cytophaga_fermentans_DSM_9555_=_JCM_21142_","12","0","0","4664","72662"
"7876","MT441554.1","Cytophaga_fermentans_DSM_9555_=_JCM_21142_","18","0","0","4664","72662"
"7877","JN626286.1","Thiothrix_nivea_DSM_5205_","37","66","65","4355","67595"
"7878","LN864819.1","Thiothrix_nivea_DSM_5205_","57","66","65","4355","67595"
"7879","NZ_KX523901.1","Thiothrix_nivea_DSM_5205_","12","0","0","4355","67595"
"7880","MT441554.1","Thiothrix_nivea_DSM_5205_","18","16","15","4355","67595"
"7881","JN626286.1","Vibrio_scophthalmi_LMG_19158_","37","29","28","4590","53635"
"7882","LN864819.1","Vibrio_scophthalmi_LMG_19158_","57","29","28","4590","53635"
"7883","NZ_KX523901.1","Vibrio_scophthalmi_LMG_19158_","12","5","4","4590","53635"
"7884","MT441554.1","Vibrio_scophthalmi_LMG_19158_","18","18","17","4590","53635"
"7885","JN626286.1","Acinetobacter_calcoaceticus_PHEA-2_","37","79","78","3603","42697"
"7886","LN864819.1","Acinetobacter_calcoaceticus_PHEA-2_","57","79","78","3603","42697"
"7887","NZ_KX523901.1","Acinetobacter_calcoaceticus_PHEA-2_","12","85","93","3603","42697"
"7888","MT441554.1","Acinetobacter_calcoaceticus_PHEA-2_","18","108","126","3603","42697"
"7889","JN626286.1","Desulfitobacterium_dichloroeliminans_LMG_P-21439_","37","42","41","3358","44755"
"7890","LN864819.1","Desulfitobacterium_dichloroeliminans_LMG_P-21439_","57","42","41","3358","44755"
"7891","NZ_KX523901.1","Desulfitobacterium_dichloroeliminans_LMG_P-21439_","12","0","0","3358","44755"
"7892","MT441554.1","Desulfitobacterium_dichloroeliminans_LMG_P-21439_","18","0","0","3358","44755"
"7893","JN626286.1","Desulfitobacterium_metallireducens_DSM_15288_","37","0","0","3046","38168"
"7894","LN864819.1","Desulfitobacterium_metallireducens_DSM_15288_","57","0","0","3046","38168"
"7895","NZ_KX523901.1","Desulfitobacterium_metallireducens_DSM_15288_","12","0","0","3046","38168"
"7896","MT441554.1","Desulfitobacterium_metallireducens_DSM_15288_","18","0","0","3046","38168"
"7897","JN626286.1","Streptococcus_parauberis_NCFD_2020_","37","0","0","2149","41165"
"7898","LN864819.1","Streptococcus_parauberis_NCFD_2020_","57","0","0","2149","41165"
"7899","NZ_KX523901.1","Streptococcus_parauberis_NCFD_2020_","12","0","0","2149","41165"
"7900","MT441554.1","Streptococcus_parauberis_NCFD_2020_","18","40","39","2149","41165"
"7901","JN626286.1","Streptococcus_porcinus_str._Jelinkova_176_","37","0","0","1956","32263"
"7902","LN864819.1","Streptococcus_porcinus_str._Jelinkova_176_","57","0","0","1956","32263"
"7903","NZ_KX523901.1","Streptococcus_porcinus_str._Jelinkova_176_","12","0","0","1956","32263"
"7904","MT441554.1","Streptococcus_porcinus_str._Jelinkova_176_","18","31","30","1956","32263"
"7905","JN626286.1","Streptococcus_criceti_HS-6_","37","0","0","2290","34378"
"7906","LN864819.1","Streptococcus_criceti_HS-6_","57","0","0","2290","34378"
"7907","NZ_KX523901.1","Streptococcus_criceti_HS-6_","12","0","0","2290","34378"
"7908","MT441554.1","Streptococcus_criceti_HS-6_","18","37","36","2290","34378"
"7909","JN626286.1","Prevotella_buccae_ATCC_33574_","37","81","164","2896","35597"
"7910","LN864819.1","Prevotella_buccae_ATCC_33574_","57","170","253","2896","35597"
"7911","NZ_KX523901.1","Prevotella_buccae_ATCC_33574_","12","81","138","2896","35597"
"7912","MT441554.1","Prevotella_buccae_ATCC_33574_","18","75","72","2896","35597"
"7913","JN626286.1","Capnocytophaga_ochracea_F0287_","37","22","21","2333","33239"
"7914","LN864819.1","Capnocytophaga_ochracea_F0287_","57","22","21","2333","33239"
"7915","NZ_KX523901.1","Capnocytophaga_ochracea_F0287_","12","22","21","2333","33239"
"7916","MT441554.1","Capnocytophaga_ochracea_F0287_","18","22","21","2333","33239"
"7917","JN626286.1","Prevotella_oralis_ATCC_33269_","37","35","34","2488","30686"
"7918","LN864819.1","Prevotella_oralis_ATCC_33269_","57","35","34","2488","30686"
"7919","NZ_KX523901.1","Prevotella_oralis_ATCC_33269_","12","35","34","2488","30686"
"7920","MT441554.1","Prevotella_oralis_ATCC_33269_","18","41","39","2488","30686"
"7921","JN626286.1","Mycobacterium_sp._JDM601_","37","97","110","4346","87142"
"7922","LN864819.1","Mycobacterium_sp._JDM601_","57","97","110","4346","87142"
"7923","NZ_KX523901.1","Mycobacterium_sp._JDM601_","12","55","54","4346","87142"
"7924","MT441554.1","Mycobacterium_sp._JDM601_","18","65","69","4346","87142"
"7925","JN626286.1","Peptoniphilus_rhinitidis_1-13_","37","0","0","1849","29092"
"7926","LN864819.1","Peptoniphilus_rhinitidis_1-13_","57","0","0","1849","29092"
"7927","NZ_KX523901.1","Peptoniphilus_rhinitidis_1-13_","12","0","0","1849","29092"
"7928","MT441554.1","Peptoniphilus_rhinitidis_1-13_","18","0","0","1849","29092"
"7929","JN626286.1","gamma_proteobacterium_IMCC3088_","37","0","0","2855","41693"
"7930","LN864819.1","gamma_proteobacterium_IMCC3088_","57","0","0","2855","41693"
"7931","NZ_KX523901.1","gamma_proteobacterium_IMCC3088_","12","0","0","2855","41693"
"7932","MT441554.1","gamma_proteobacterium_IMCC3088_","18","44","43","2855","41693"
"7933","JN626286.1","Methyloferula_stellata_AR4_","37","0","0","3747","67726"
"7934","LN864819.1","Methyloferula_stellata_AR4_","57","0","0","3747","67726"
"7935","NZ_KX523901.1","Methyloferula_stellata_AR4_","12","0","0","3747","67726"
"7936","MT441554.1","Methyloferula_stellata_AR4_","18","0","0","3747","67726"
"7937","JN626286.1","Ruminococcus_sp._NK3A76_","37","0","0","3058","38599"
"7938","LN864819.1","Ruminococcus_sp._NK3A76_","57","0","0","3058","38599"
"7939","NZ_KX523901.1","Ruminococcus_sp._NK3A76_","12","0","0","3058","38599"
"7940","MT441554.1","Ruminococcus_sp._NK3A76_","18","0","0","3058","38599"
"7941","JN626286.1","Clostridiales_bacterium_NK3B98_","37","0","0","2516","38241"
"7942","LN864819.1","Clostridiales_bacterium_NK3B98_","57","0","0","2516","38241"
"7943","NZ_KX523901.1","Clostridiales_bacterium_NK3B98_","12","0","0","2516","38241"
"7944","MT441554.1","Clostridiales_bacterium_NK3B98_","18","0","0","2516","38241"
"7945","JN626286.1","Erysipelotrichaceae_bacterium_NK3D112_","37","0","0","2744","85750"
"7946","LN864819.1","Erysipelotrichaceae_bacterium_NK3D112_","57","0","0","2744","85750"
"7947","NZ_KX523901.1","Erysipelotrichaceae_bacterium_NK3D112_","12","0","0","2744","85750"
"7948","MT441554.1","Erysipelotrichaceae_bacterium_NK3D112_","18","0","0","2744","85750"
"7949","JN626286.1","Treponema_bryantii_NK4A124_","37","0","0","2828","47274"
"7950","LN864819.1","Treponema_bryantii_NK4A124_","57","0","0","2828","47274"
"7951","NZ_KX523901.1","Treponema_bryantii_NK4A124_","12","0","0","2828","47274"
"7952","MT441554.1","Treponema_bryantii_NK4A124_","18","0","0","2828","47274"
"7953","JN626286.1","Lachnospiraceae_bacterium_NK4A136_","37","0","0","2448","42082"
"7954","LN864819.1","Lachnospiraceae_bacterium_NK4A136_","57","0","0","2448","42082"
"7955","NZ_KX523901.1","Lachnospiraceae_bacterium_NK4A136_","12","0","0","2448","42082"
"7956","MT441554.1","Lachnospiraceae_bacterium_NK4A136_","18","0","0","2448","42082"
"7957","JN626286.1","Lachnospiraceae_bacterium_NK4A144_","37","0","0","3616","70717"
"7958","LN864819.1","Lachnospiraceae_bacterium_NK4A144_","57","0","0","3616","70717"
"7959","NZ_KX523901.1","Lachnospiraceae_bacterium_NK4A144_","12","0","0","3616","70717"
"7960","MT441554.1","Lachnospiraceae_bacterium_NK4A144_","18","0","0","3616","70717"
"7961","JN626286.1","Lachnospiraceae_bacterium_NK4A179_","37","0","0","2847","47097"
"7962","LN864819.1","Lachnospiraceae_bacterium_NK4A179_","57","0","0","2847","47097"
"7963","NZ_KX523901.1","Lachnospiraceae_bacterium_NK4A179_","12","0","0","2847","47097"
"7964","MT441554.1","Lachnospiraceae_bacterium_NK4A179_","18","0","0","2847","47097"
"7965","JN626286.1","Desulfobacter_postgatei_2ac9_","37","21","20","3440","55271"
"7966","LN864819.1","Desulfobacter_postgatei_2ac9_","57","21","20","3440","55271"
"7967","NZ_KX523901.1","Desulfobacter_postgatei_2ac9_","12","0","0","3440","55271"
"7968","MT441554.1","Desulfobacter_postgatei_2ac9_","18","9","8","3440","55271"
"7969","JN626286.1","Porphyromonas_asaccharolytica_DSM_20707_","37","0","0","1712","22980"
"7970","LN864819.1","Porphyromonas_asaccharolytica_DSM_20707_","57","0","0","1712","22980"
"7971","NZ_KX523901.1","Porphyromonas_asaccharolytica_DSM_20707_","12","0","0","1712","22980"
"7972","MT441554.1","Porphyromonas_asaccharolytica_DSM_20707_","18","0","0","1712","22980"
"7973","JN626286.1","Anaerococcus_prevotii_ACS-065-V-Col13_","37","0","0","1635","29596"
"7974","LN864819.1","Anaerococcus_prevotii_ACS-065-V-Col13_","57","0","0","1635","29596"
"7975","NZ_KX523901.1","Anaerococcus_prevotii_ACS-065-V-Col13_","12","0","0","1635","29596"
"7976","MT441554.1","Anaerococcus_prevotii_ACS-065-V-Col13_","18","0","0","1635","29596"
"7977","JN626286.1","Peptoniphilus_sp._oral_taxon_375_str._F0436_","37","43","42","2157","34973"
"7978","LN864819.1","Peptoniphilus_sp._oral_taxon_375_str._F0436_","57","43","42","2157","34973"
"7979","NZ_KX523901.1","Peptoniphilus_sp._oral_taxon_375_str._F0436_","12","43","42","2157","34973"
"7980","MT441554.1","Peptoniphilus_sp._oral_taxon_375_str._F0436_","18","43","42","2157","34973"
"7981","JN626286.1","Veillonella_sp._oral_taxon_158_str._F0412_","37","0","0","2000","34812"
"7982","LN864819.1","Veillonella_sp._oral_taxon_158_str._F0412_","57","0","0","2000","34812"
"7983","NZ_KX523901.1","Veillonella_sp._oral_taxon_158_str._F0412_","12","0","0","2000","34812"
"7984","MT441554.1","Veillonella_sp._oral_taxon_158_str._F0412_","18","0","0","2000","34812"
"7985","JN626286.1","Selenomonas_sp._oral_taxon_137_str._F0430_","37","121","120","2395","43624"
"7986","LN864819.1","Selenomonas_sp._oral_taxon_137_str._F0430_","57","121","120","2395","43624"
"7987","NZ_KX523901.1","Selenomonas_sp._oral_taxon_137_str._F0430_","12","0","0","2395","43624"
"7988","MT441554.1","Selenomonas_sp._oral_taxon_137_str._F0430_","18","0","0","2395","43624"
"7989","JN626286.1","Cyclobacterium_marinum_DSM_745_","37","22","21","5008","67884"
"7990","LN864819.1","Cyclobacterium_marinum_DSM_745_","57","42","42","5008","67884"
"7991","NZ_KX523901.1","Cyclobacterium_marinum_DSM_745_","12","0","0","5008","67884"
"7992","MT441554.1","Cyclobacterium_marinum_DSM_745_","18","0","0","5008","67884"
"7993","JN626286.1","Flexibacter_litoralis_DSM_6794_","37","0","0","3900","37792"
"7994","LN864819.1","Flexibacter_litoralis_DSM_6794_","57","0","0","3900","37792"
"7995","NZ_KX523901.1","Flexibacter_litoralis_DSM_6794_","12","0","0","3900","37792"
"7996","MT441554.1","Flexibacter_litoralis_DSM_6794_","18","0","0","3900","37792"
"7997","JN626286.1","Desulfobacca_acetoxidans_DSM_11109_","37","23","22","2870","33534"
"7998","LN864819.1","Desulfobacca_acetoxidans_DSM_11109_","57","23","22","2870","33534"
"7999","NZ_KX523901.1","Desulfobacca_acetoxidans_DSM_11109_","12","0","0","2870","33534"
"8000","MT441554.1","Desulfobacca_acetoxidans_DSM_11109_","18","15","14","2870","33534"
"8001","JN626286.1","Caldithrix_abyssi_DSM_13497_","37","21","20","3758","52712"
"8002","LN864819.1","Caldithrix_abyssi_DSM_13497_","57","21","20","3758","52712"
"8003","NZ_KX523901.1","Caldithrix_abyssi_DSM_13497_","12","0","0","3758","52712"
"8004","MT441554.1","Caldithrix_abyssi_DSM_13497_","18","11","10","3758","52712"
"8005","JN626286.1","Barnesiella_viscericola_DSM_18177_","37","0","0","2512","26207"
"8006","LN864819.1","Barnesiella_viscericola_DSM_18177_","57","0","0","2512","26207"
"8007","NZ_KX523901.1","Barnesiella_viscericola_DSM_18177_","12","0","0","2512","26207"
"8008","MT441554.1","Barnesiella_viscericola_DSM_18177_","18","0","0","2512","26207"
"8009","JN626286.1","Mycoplasma_leachii_PG50_","37","0","0","883","13903"
"8010","LN864819.1","Mycoplasma_leachii_PG50_","57","0","0","883","13903"
"8011","NZ_KX523901.1","Mycoplasma_leachii_PG50_","12","0","0","883","13903"
"8012","MT441554.1","Mycoplasma_leachii_PG50_","18","0","0","883","13903"
"8013","JN626286.1","Rikenella_microfusus_DSM_15922_","37","0","0","1911","24141"
"8014","LN864819.1","Rikenella_microfusus_DSM_15922_","57","0","0","1911","24141"
"8015","NZ_KX523901.1","Rikenella_microfusus_DSM_15922_","12","0","0","1911","24141"
"8016","MT441554.1","Rikenella_microfusus_DSM_15922_","18","0","0","1911","24141"
"8017","JN626286.1","Listeria_ivanovii_subsp._ivanovii_PAM_55_","37","111","140","2650","38411"
"8018","LN864819.1","Listeria_ivanovii_subsp._ivanovii_PAM_55_","57","111","140","2650","38411"
"8019","NZ_KX523901.1","Listeria_ivanovii_subsp._ivanovii_PAM_55_","12","65","63","2650","38411"
"8020","MT441554.1","Listeria_ivanovii_subsp._ivanovii_PAM_55_","18","89","94","2650","38411"
"8021","JN626286.1","Saccharomonospora_cyanea_NA-134_","37","0","0","5046","88087"
"8022","LN864819.1","Saccharomonospora_cyanea_NA-134_","57","0","0","5046","88087"
"8023","NZ_KX523901.1","Saccharomonospora_cyanea_NA-134_","12","0","0","5046","88087"
"8024","MT441554.1","Saccharomonospora_cyanea_NA-134_","18","17","16","5046","88087"
"8025","JN626286.1","Saccharomonospora_marina_XMU15_","37","0","0","5578","104083"
"8026","LN864819.1","Saccharomonospora_marina_XMU15_","57","0","0","5578","104083"
"8027","NZ_KX523901.1","Saccharomonospora_marina_XMU15_","12","0","0","5578","104083"
"8028","MT441554.1","Saccharomonospora_marina_XMU15_","18","19","18","5578","104083"
"8029","JN626286.1","Saccharomonospora_xinjiangensis_XJ-54_","37","0","0","4310","72780"
"8030","LN864819.1","Saccharomonospora_xinjiangensis_XJ-54_","57","0","0","4310","72780"
"8031","NZ_KX523901.1","Saccharomonospora_xinjiangensis_XJ-54_","12","0","0","4310","72780"
"8032","MT441554.1","Saccharomonospora_xinjiangensis_XJ-54_","18","15","14","4310","72780"
"8033","JN626286.1","Burkholderia_rhizoxinica_HKI_454_","37","17","16","3670","31932"
"8034","LN864819.1","Burkholderia_rhizoxinica_HKI_454_","57","17","16","3670","31932"
"8035","NZ_KX523901.1","Burkholderia_rhizoxinica_HKI_454_","12","0","0","3670","31932"
"8036","MT441554.1","Burkholderia_rhizoxinica_HKI_454_","18","16","15","3670","31932"
"8037","JN626286.1","Actinobaculum_massiliae_ACS-171-V-Col2_","37","0","0","1697","25148"
"8038","LN864819.1","Actinobaculum_massiliae_ACS-171-V-Col2_","57","0","0","1697","25148"
"8039","NZ_KX523901.1","Actinobaculum_massiliae_ACS-171-V-Col2_","12","0","0","1697","25148"
"8040","MT441554.1","Actinobaculum_massiliae_ACS-171-V-Col2_","18","18","17","1697","25148"
"8041","JN626286.1","Actinobaculum_schaalii_FB123-CNA-2_","37","0","0","1730","19804"
"8042","LN864819.1","Actinobaculum_schaalii_FB123-CNA-2_","57","0","0","1730","19804"
"8043","NZ_KX523901.1","Actinobaculum_schaalii_FB123-CNA-2_","12","0","0","1730","19804"
"8044","MT441554.1","Actinobaculum_schaalii_FB123-CNA-2_","18","19","18","1730","19804"
"8045","JN626286.1","Actinomyces_europaeus_ACS-120-V-Col10b_","37","0","0","1670","28950"
"8046","LN864819.1","Actinomyces_europaeus_ACS-120-V-Col10b_","57","0","0","1670","28950"
"8047","NZ_KX523901.1","Actinomyces_europaeus_ACS-120-V-Col10b_","12","0","0","1670","28950"
"8048","MT441554.1","Actinomyces_europaeus_ACS-120-V-Col10b_","18","0","0","1670","28950"
"8049","JN626286.1","Actinomyces_turicensis_ACS-279-V-Col4_","37","0","0","1717","29226"
"8050","LN864819.1","Actinomyces_turicensis_ACS-279-V-Col4_","57","0","0","1717","29226"
"8051","NZ_KX523901.1","Actinomyces_turicensis_ACS-279-V-Col4_","12","0","0","1717","29226"
"8052","MT441554.1","Actinomyces_turicensis_ACS-279-V-Col4_","18","0","0","1717","29226"
"8053","JN626286.1","Afipia_broomeae_ATCC_49717_","37","34","33","5042","86420"
"8054","LN864819.1","Afipia_broomeae_ATCC_49717_","57","34","33","5042","86420"
"8055","NZ_KX523901.1","Afipia_broomeae_ATCC_49717_","12","0","0","5042","86420"
"8056","MT441554.1","Afipia_broomeae_ATCC_49717_","18","17","16","5042","86420"
"8057","JN626286.1","Afipia_felis_ATCC_53690_","37","25","24","4046","63460"
"8058","LN864819.1","Afipia_felis_ATCC_53690_","57","25","24","4046","63460"
"8059","NZ_KX523901.1","Afipia_felis_ATCC_53690_","12","0","0","4046","63460"
"8060","MT441554.1","Afipia_felis_ATCC_53690_","18","19","18","4046","63460"
"8061","JN626286.1","Alloiococcus_otitis_ATCC_51267_","37","0","0","1630","29784"
"8062","LN864819.1","Alloiococcus_otitis_ATCC_51267_","57","0","0","1630","29784"
"8063","NZ_KX523901.1","Alloiococcus_otitis_ATCC_51267_","12","0","0","1630","29784"
"8064","MT441554.1","Alloiococcus_otitis_ATCC_51267_","18","28","27","1630","29784"
"8065","JN626286.1","Bergeyella_zoohelcum_ATCC_43767_","37","0","0","2138","30364"
"8066","LN864819.1","Bergeyella_zoohelcum_ATCC_43767_","57","0","0","2138","30364"
"8067","NZ_KX523901.1","Bergeyella_zoohelcum_ATCC_43767_","12","0","0","2138","30364"
"8068","MT441554.1","Bergeyella_zoohelcum_ATCC_43767_","18","0","0","2138","30364"
"8069","JN626286.1","Dolosigranulum_pigrum_ATCC_51524_","37","0","0","1692","27949"
"8070","LN864819.1","Dolosigranulum_pigrum_ATCC_51524_","57","0","0","1692","27949"
"8071","NZ_KX523901.1","Dolosigranulum_pigrum_ATCC_51524_","12","0","0","1692","27949"
"8072","MT441554.1","Dolosigranulum_pigrum_ATCC_51524_","18","25","24","1692","27949"
"8073","JN626286.1","Eubacterium_infirmum_F0142_","37","0","0","1765","27912"
"8074","LN864819.1","Eubacterium_infirmum_F0142_","57","0","0","1765","27912"
"8075","NZ_KX523901.1","Eubacterium_infirmum_F0142_","12","0","0","1765","27912"
"8076","MT441554.1","Eubacterium_infirmum_F0142_","18","0","0","1765","27912"
"8077","JN626286.1","Facklamia_hominis_ACS-120-V-Sch10_","37","0","0","1775","30470"
"8078","LN864819.1","Facklamia_hominis_ACS-120-V-Sch10_","57","0","0","1775","30470"
"8079","NZ_KX523901.1","Facklamia_hominis_ACS-120-V-Sch10_","12","0","0","1775","30470"
"8080","MT441554.1","Facklamia_hominis_ACS-120-V-Sch10_","18","0","0","1775","30470"
"8081","JN626286.1","Facklamia_ignava_CCUG_37419_","37","0","0","1643","27955"
"8082","LN864819.1","Facklamia_ignava_CCUG_37419_","57","60","59","1643","27955"
"8083","NZ_KX523901.1","Facklamia_ignava_CCUG_37419_","12","0","0","1643","27955"
"8084","MT441554.1","Facklamia_ignava_CCUG_37419_","18","0","0","1643","27955"
"8085","JN626286.1","Facklamia_languida_CCUG_37842_","37","0","0","1528","27807"
"8086","LN864819.1","Facklamia_languida_CCUG_37842_","57","73","72","1528","27807"
"8087","NZ_KX523901.1","Facklamia_languida_CCUG_37842_","12","0","0","1528","27807"
"8088","MT441554.1","Facklamia_languida_CCUG_37842_","18","31","30","1528","27807"
"8089","JN626286.1","Helcococcus_kunzii_ATCC_51366_","37","0","0","1882","52473"
"8090","LN864819.1","Helcococcus_kunzii_ATCC_51366_","57","0","0","1882","52473"
"8091","NZ_KX523901.1","Helcococcus_kunzii_ATCC_51366_","12","0","0","1882","52473"
"8092","MT441554.1","Helcococcus_kunzii_ATCC_51366_","18","0","0","1882","52473"
"8093","JN626286.1","Massilia_timonae_CCUG_45783_","37","110","109","5236","109171"
"8094","LN864819.1","Massilia_timonae_CCUG_45783_","57","110","109","5236","109171"
"8095","NZ_KX523901.1","Massilia_timonae_CCUG_45783_","12","0","0","5236","109171"
"8096","MT441554.1","Massilia_timonae_CCUG_45783_","18","26","25","5236","109171"
"8097","JN626286.1","Veillonella_ratti_ACS-216-V-Col6b_","37","0","0","2126","33251"
"8098","LN864819.1","Veillonella_ratti_ACS-216-V-Col6b_","57","0","0","2126","33251"
"8099","NZ_KX523901.1","Veillonella_ratti_ACS-216-V-Col6b_","12","0","0","2126","33251"
"8100","MT441554.1","Veillonella_ratti_ACS-216-V-Col6b_","18","0","0","2126","33251"
"8101","JN626286.1","Prevotella_micans_F0438_","37","0","0","2064","27319"
"8102","LN864819.1","Prevotella_micans_F0438_","57","0","0","2064","27319"
"8103","NZ_KX523901.1","Prevotella_micans_F0438_","12","0","0","2064","27319"
"8104","MT441554.1","Prevotella_micans_F0438_","18","0","0","2064","27319"
"8105","JN626286.1","Streptococcus_urinalis_FB127-CNA-2_","37","0","0","2203","37842"
"8106","LN864819.1","Streptococcus_urinalis_FB127-CNA-2_","57","0","0","2203","37842"
"8107","NZ_KX523901.1","Streptococcus_urinalis_FB127-CNA-2_","12","0","0","2203","37842"
"8108","MT441554.1","Streptococcus_urinalis_FB127-CNA-2_","18","0","0","2203","37842"
"8109","JN626286.1","Turicella_otitidis_ATCC_51513_","37","56","67","1846","31688"
"8110","LN864819.1","Turicella_otitidis_ATCC_51513_","57","56","67","1846","31688"
"8111","NZ_KX523901.1","Turicella_otitidis_ATCC_51513_","12","0","0","1846","31688"
"8112","MT441554.1","Turicella_otitidis_ATCC_51513_","18","18","17","1846","31688"
"8113","JN626286.1","Jonquetella_anthropi_DSM_22815_","37","0","0","1509","26381"
"8114","LN864819.1","Jonquetella_anthropi_DSM_22815_","57","0","0","1509","26381"
"8115","NZ_KX523901.1","Jonquetella_anthropi_DSM_22815_","12","0","0","1509","26381"
"8116","MT441554.1","Jonquetella_anthropi_DSM_22815_","18","0","0","1509","26381"
"8117","JN626286.1","Singulisphaera_acidiphila_DSM_18658_","37","0","0","7197","113364"
"8118","LN864819.1","Singulisphaera_acidiphila_DSM_18658_","57","0","0","7197","113364"
"8119","NZ_KX523901.1","Singulisphaera_acidiphila_DSM_18658_","12","0","0","7197","113364"
"8120","MT441554.1","Singulisphaera_acidiphila_DSM_18658_","18","0","0","7197","113364"
"8121","JN626286.1","Muricauda_ruestringensis_DSM_13258_","37","20","19","3440","42817"
"8122","LN864819.1","Muricauda_ruestringensis_DSM_13258_","57","20","19","3440","42817"
"8123","NZ_KX523901.1","Muricauda_ruestringensis_DSM_13258_","12","0","0","3440","42817"
"8124","MT441554.1","Muricauda_ruestringensis_DSM_13258_","18","0","0","3440","42817"
"8125","JN626286.1","Anaerophaga_thermohalophila_DSM_12881_","37","0","0","3386","52140"
"8126","LN864819.1","Anaerophaga_thermohalophila_DSM_12881_","57","0","0","3386","52140"
"8127","NZ_KX523901.1","Anaerophaga_thermohalophila_DSM_12881_","12","0","0","3386","52140"
"8128","MT441554.1","Anaerophaga_thermohalophila_DSM_12881_","18","0","0","3386","52140"
"8129","JN626286.1","Paenibacillus_polymyxa_SC2_","37","111","109","6035","64464"
"8130","LN864819.1","Paenibacillus_polymyxa_SC2_","57","111","109","6035","64464"
"8131","NZ_KX523901.1","Paenibacillus_polymyxa_SC2_","12","89","86","6035","64464"
"8132","MT441554.1","Paenibacillus_polymyxa_SC2_","18","89","86","6035","64464"
"8133","JN626286.1","Hylemonella_gracilis_ATCC_19624_","37","25","24","3342","68224"
"8134","LN864819.1","Hylemonella_gracilis_ATCC_19624_","57","25","24","3342","68224"
"8135","NZ_KX523901.1","Hylemonella_gracilis_ATCC_19624_","12","0","0","3342","68224"
"8136","MT441554.1","Hylemonella_gracilis_ATCC_19624_","18","47","46","3342","68224"
"8137","JN626286.1","Lachnoanaerobaculum_saburreum_DSM_3986_","37","0","0","2954","48829"
"8138","LN864819.1","Lachnoanaerobaculum_saburreum_DSM_3986_","57","0","0","2954","48829"
"8139","NZ_KX523901.1","Lachnoanaerobaculum_saburreum_DSM_3986_","12","0","0","2954","48829"
"8140","MT441554.1","Lachnoanaerobaculum_saburreum_DSM_3986_","18","0","0","2954","48829"
"8141","JN626286.1","Kingella_kingae_ATCC_23330_","37","48","47","2102","23572"
"8142","LN864819.1","Kingella_kingae_ATCC_23330_","57","55","54","2102","23572"
"8143","NZ_KX523901.1","Kingella_kingae_ATCC_23330_","12","48","47","2102","23572"
"8144","MT441554.1","Kingella_kingae_ATCC_23330_","18","70","75","2102","23572"
"8145","JN626286.1","Lautropia_mirabilis_ATCC_51599_","37","30","44","2666","42075"
"8146","LN864819.1","Lautropia_mirabilis_ATCC_51599_","57","51","69","2666","42075"
"8147","NZ_KX523901.1","Lautropia_mirabilis_ATCC_51599_","12","0","0","2666","42075"
"8148","MT441554.1","Lautropia_mirabilis_ATCC_51599_","18","36","35","2666","42075"
"8149","JN626286.1","Pseudoramibacter_alactolyticus_ATCC_23263_","37","0","0","2515","35569"
